DateTime,B-Voltage,B-Current,B-Temperature,V-Change,I-Change,T-Change,B-Resistance,V-Gradient,VDRt,Year,UPS_Operation_Mode,CumulativeTime,ChargeorDischargeCapacity,DischargeCapacity,ModeChange,dQ/dV
4/12/2016 20:58,216,0,93,0,0,0,0,0,0,2016,Online,6100.416667,0,0,0,0
4/12/2016 21:03,216,0,93,0,0,0,0,0,0,2016,Online,6105.4,0,0,0,0
4/12/2016 21:08,216,0,91,0,0,0,0,0,0,2016,Online,6110.383333,0,0,0,0
4/12/2016 21:13,216,0,93,0,0,0,0,0,0,2016,Online,6115.383333,0,0,0,0
4/12/2016 21:18,216,0,91,0,0,0,0,0,0,2016,Online,6120.4,0,0,0,0
4/12/2016 21:23,216,0,91,0,0,0,0,0,0,2016,Online,6125.416667,0,0,0,0
4/12/2016 21:28,216,0,91,0,0,0,0,0,0,2016,Online,6130.416667,0,0,0,0
4/12/2016 21:33,216,0,93,0,0,0,0,0,0,2016,Online,6135.416667,0,0,0,0
4/12/2016 21:38,216,0,93,0,0,0,0,0,0,2016,Online,6140.433333,0,0,0,0
4/12/2016 21:43,216,0,93,0,0,0,0,0,0,2016,Online,6145.416667,0,0,0,0
4/12/2016 21:48,216,0,93,0,0,0,0,0,0,2016,Online,6150.4,0,0,0,0
4/12/2016 21:53,216,0,93,0,0,0,0,0,0,2016,Online,6155.416667,0,0,0,0
4/12/2016 21:58,216,0,93,0,0,0,0,0,0,2016,Online,6160.433333,0,0,0,0
4/12/2016 22:03,216,0,93,0,0,0,0,0,0,2016,Online,6165.45,0,0,0,0
4/12/2016 22:08,216,0,93,0,0,0,0,0,0,2016,Online,6170.466667,0,0,0,0
4/12/2016 22:13,216,0,93,0,0,0,0,0,0,2016,Online,6175.466667,0,0,0,0
4/12/2016 22:18,216,0,91,0,0,0,0,0,0,2016,Online,6180.45,0,0,0,0
4/12/2016 22:23,216,0,91,0,0,0,0,0,0,2016,Online,6185.433333,0,0,0,0
4/12/2016 22:28,216,0,93,0,0,0,0,0,0,2016,Online,6190.45,0,0,0,0
4/12/2016 22:33,216,0,93,0,0,0,0,0,0,2016,Online,6195.466667,0,0,0,0
4/12/2016 22:38,216,0,91,0,0,0,0,0,0,2016,Online,6200.45,0,0,0,0
4/12/2016 22:43,216,0,93,0,0,0,0,0,0,2016,Online,6205.466667,0,0,0,0
4/12/2016 22:48,216,0,91,0,0,0,0,0,0,2016,Online,6210.45,0,0,0,0
4/12/2016 22:53,216,0,93,0,0,0,0,0,0,2016,Online,6215.466667,0,0,0,0
4/12/2016 22:58,216,0,91,0,0,0,0,0,0,2016,Online,6220.483333,0,0,0,0
4/12/2016 23:03,216,0,91,0,0,0,0,0,0,2016,Online,6225.5,0,0,0,0
4/12/2016 23:08,216,0,91,0,0,0,0,0,0,2016,Online,6230.483333,0,0,0,0
4/12/2016 23:13,216,0,91,0,0,0,0,0,0,2016,Online,6235.466667,0,0,0,0
4/12/2016 23:18,216,0,91,0,0,0,0,0,0,2016,Online,6240.45,0,0,0,0
4/12/2016 23:23,216,0,91,0,0,0,0,0,0,2016,Online,6245.433333,0,0,0,0
4/12/2016 23:28,216,0,91,0,0,0,0,0,0,2016,Online,6250.433333,0,0,0,0
4/12/2016 23:33,216,0,91,0,0,0,0,0,0,2016,Online,6255.433333,0,0,0,0
4/12/2016 23:38,216,0,91,0,0,0,0,0,0,2016,Online,6260.433333,0,0,0,0
4/12/2016 23:43,216,0,91,0,0,0,0,0,0,2016,Online,6265.45,0,0,0,0
4/12/2016 23:48,216,0,91,0,0,0,0,0,0,2016,Online,6270.433333,0,0,0,0
4/12/2016 23:53,216,0,91,0,0,0,0,0,0,2016,Online,6275.416667,0,0,0,0
4/12/2016 23:58,216,0,91,0,0,0,0,0,0,2016,Online,6280.433333,0,0,0,0
4/13/2016 0:03,216,0,91,0,0,0,0,0,0,2016,Online,6285.433333,0,0,0,0
4/13/2016 0:08,216,0,91,0,0,0,0,0,0,2016,Online,6290.416667,0,0,0,0
4/13/2016 0:13,216,0,91,0,0,0,0,0,0,2016,Online,6295.433333,0,0,0,0
4/13/2016 0:18,216,0,91,0,0,0,0,0,0,2016,Online,6300.433333,0,0,0,0
4/13/2016 0:23,216,0,91,0,0,0,0,0,0,2016,Online,6305.433333,0,0,0,0
4/13/2016 0:28,216,0,91,0,0,0,0,0,0,2016,Online,6310.433333,0,0,0,0
4/13/2016 0:33,216,0,91,0,0,0,0,0,0,2016,Online,6315.45,0,0,0,0
4/13/2016 0:38,216,0,91,0,0,0,0,0,0,2016,Online,6320.433333,0,0,0,0
4/13/2016 0:43,216,0,91,0,0,0,0,0,0,2016,Online,6325.433333,0,0,0,0
4/13/2016 0:48,216,0,91,0,0,0,0,0,0,2016,Online,6330.45,0,0,0,0
4/13/2016 0:53,216,0,91,0,0,0,0,0,0,2016,Online,6335.45,0,0,0,0
4/13/2016 0:58,216,0,91,0,0,0,0,0,0,2016,Online,6340.433333,0,0,0,0
4/13/2016 1:03,216,0,91,0,0,0,0,0,0,2016,Online,6345.416667,0,0,0,0
4/13/2016 1:08,216,0,91,0,0,0,0,0,0,2016,Online,6350.4,0,0,0,0
4/13/2016 1:13,216,0,91,0,0,0,0,0,0,2016,Online,6355.4,0,0,0,0
4/13/2016 1:18,216,0,93,0,0,0,0,0,0,2016,Online,6360.416667,0,0,0,0
4/13/2016 1:23,216,0,93,0,0,0,0,0,0,2016,Online,6365.416667,0,0,0,0
4/13/2016 1:28,216,0,93,0,0,0,0,0,0,2016,Online,6370.4,0,0,0,0
4/13/2016 1:33,216,0,93,0,0,0,0,0,0,2016,Online,6375.4,0,0,0,0
4/13/2016 1:38,216,0,93,0,0,0,0,0,0,2016,Online,6380.4,0,0,0,0
4/13/2016 1:43,216,0,93,0,0,0,0,0,0,2016,Online,6385.4,0,0,0,0
4/13/2016 1:48,216,0,93,0,0,0,0,0,0,2016,Online,6390.4,0,0,0,0
4/13/2016 1:53,216,0,93,0,0,0,0,0,0,2016,Online,6395.4,0,0,0,0
4/13/2016 1:58,216,0,93,0,0,0,0,0,0,2016,Online,6400.4,0,0,0,0
4/13/2016 2:03,216,0,93,0,0,0,0,0,0,2016,Online,6405.4,0,0,0,0
4/13/2016 2:08,216,0,93,0,0,0,0,0,0,2016,Online,6410.383333,0,0,0,0
4/13/2016 2:13,216,0,93,0,0,0,0,0,0,2016,Online,6415.366667,0,0,0,0
4/13/2016 2:18,216,0,93,0,0,0,0,0,0,2016,Online,6420.366667,0,0,0,0
4/13/2016 2:23,216,0,93,0,0,0,0,0,0,2016,Online,6425.35,0,0,0,0
4/13/2016 2:28,216,0,93,0,0,0,0,0,0,2016,Online,6430.35,0,0,0,0
4/13/2016 2:33,216,0,93,0,0,0,0,0,0,2016,Online,6435.35,0,0,0,0
4/13/2016 2:38,216,0,93,0,0,0,0,0,0,2016,Online,6440.366667,0,0,0,0
4/13/2016 2:43,216,0,93,0,0,0,0,0,0,2016,Online,6445.366667,0,0,0,0
4/13/2016 2:48,216,0,93,0,0,0,0,0,0,2016,Online,6450.35,0,0,0,0
4/13/2016 2:53,216,0,93,0,0,0,0,0,0,2016,Online,6455.35,0,0,0,0
4/13/2016 2:57,216,0,93,0,0,0,0,0,0,2016,Online,6460.333333,0,0,0,0
4/13/2016 3:02,216,0,93,0,0,0,0,0,0,2016,Online,6465.316667,0,0,0,0
4/13/2016 3:07,216,0,93,0,0,0,0,0,0,2016,Online,6470.316667,0,0,0,0
4/13/2016 3:12,216,0,93,0,0,0,0,0,0,2016,Online,6475.3,0,0,0,0
4/13/2016 3:17,216,0,93,0,0,0,0,0,0,2016,Online,6480.3,0,0,0,0
4/13/2016 3:22,216,0,93,0,0,0,0,0,0,2016,Online,6485.283333,0,0,0,0
4/13/2016 3:27,216,0,93,0,0,0,0,0,0,2016,Online,6490.3,0,0,0,0
4/13/2016 3:32,216,0,93,0,0,0,0,0,0,2016,Online,6495.316667,0,0,0,0
4/13/2016 3:37,216,0,93,0,0,0,0,0,0,2016,Online,6500.316667,0,0,0,0
4/13/2016 3:42,216,0,93,0,0,0,0,0,0,2016,Online,6505.3,0,0,0,0
4/13/2016 3:47,216,0,93,0,0,0,0,0,0,2016,Online,6510.283333,0,0,0,0
